gender,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,Yes,Yes,-0.09866614365777576,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),0.5734164323668379,0.12656748888859676,No
Male,No,No,-1.2801570035428536,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.32911654603686225,-0.9743375436890322,No
Male,Yes,Yes,1.3680121651650794,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,0.6382306879237705,1.5135843062300893,No
Female,No,No,1.3272711010311113,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.5373207457776272,2.12800445614894,No
Male,No,No,1.6124585499688886,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.1999542360838513,2.283313459041729,No
Female,No,No,-0.8320052980692034,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.47037838507120205,-0.5981858001397172,Yes
Male,Yes,Yes,1.5717174858349205,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),0.06819761982049313,1.0876260396681459,No
Male,No,No,-1.117192747006981,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.454106433773098,-0.9570662826089223,Yes
Male,No,No,0.7976372672895247,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4557683377617372,-0.51884387663377185,No
Female,Yes,No,-0.3023714643276168,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.120182844629165,0.10199509445278279,Yes
Male,No,No,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4823588015799658,-0.9983805508120459,No
Female,Yes,Yes,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,-1.5072873614095552,-0.9987114178825461,No
Male,No,No,0.22726236941396985,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),1.0038495654244146,0.5833405086164577,No
Female,Yes,No,1.3680121651650794,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),-0.6397734793398451,0.328197881651412,No
Male,Yes,No,1.449494293433016,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.5024207620162022,2.3507221102049676,Yes
Male,No,No,-1.117192747006981,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.3460826745115442,-0.9630880632920258,No
Female,Yes,Yes,1.6124585499688886,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,1.3079779953454052,2.21449310837769,No
Female,No,No,-0.017184015389839363,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,-1.1516399078407469,-0.5980534533115172,No
Male,No,No,0.43096769008381086,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,0.9822448135721037,0.7226134874923374,No
Male,Yes,Yes,1.6124585499688886,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.5089492653981946,-0.4058858587650074,No
Male,Yes,No,0.9198604596914293,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0620162050267898,1.3038807569470692,Yes
Female,No,No,0.7976372672895247,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),-0.22762129015730054,0.3348152230614158,No
Female,No,No,0.43096769008381086,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.8925019981855823,0.7370834073755456,No
Female,Yes,No,0.18652130528000166,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.38894508962787666,0.25800994709597197,Yes
Female,Yes,Yes,1.286530036897143,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,-0.33896885739613314,0.5030059838990119,No
Male,Yes,Yes,-1.1986748752749172,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0.8326734545945673,-0.8977087301611884,No
Female,No,No,0.14578024114603344,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),-1.1217256360452397,-0.5103957374336672,No
Female,Yes,Yes,-0.9134874263371398,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1783494842315403,-0.5376150684334826,Yes
Female,No,No,0.3494855618158745,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.4674016656822124,-0.6388603920065404,No
Male,Yes,Yes,-0.22088933605968036,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.6781163836511135,-0.05810045205990872,No
Female,Yes,Yes,0.9606015238253974,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.1633923483337865,1.4258824747428391,No
Female,No,No,-1.0764516828730126,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.465739761693573,-0.9575515543123225,No
Male,No,No,-1.1986748752749172,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.31914512210502655,-0.9060245225330931,Yes
Female,Yes,Yes,-1.0357106187390444,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-0.46859736850999784,-0.8527328663778627,No
Female,Yes,Yes,-1.157933811140949,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4607540497276552,-0.97954318559823506,No
Male,No,No,0.02355704874412884,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,0.8027591827990604,0.32837434408901217,No
Female,No,No,-0.22088933605968036,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.44046411327569457,-0.06520306517331273,Yes
Male,Yes,No,1.6124585499688886,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.3710112343411336,-0.24676085565911643,No
Male,No,No,-1.2801570035428536,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4973159374777196,-0.998579071054346,No
Male,No,No,1.5717174858349205,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,-0.2774784098164793,0.7508695353130534,No
Female,No,No,-0.7912642339352352,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.7030449434807029,-0.4710004982394445,No
Female,Yes,Yes,-0.3023714643276168,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),-0.20601653830498978,-0.3443886992613722,Yes
Male,No,No,1.4087532292990477,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),-0.4735830804759159,0.4309210781393707,No
Male,No,No,-1.2801570035428536,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.9754780850449819,-0.9916529203785421,Yes
Male,No,No,-1.2394159394088855,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,-0.679659175067188,-0.9714479712733305,Yes
Female,No,No,0.43096769008381086,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-1.2995493628296437,-0.4831102330197515,No
Female,No,No,-0.3838535925955532,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.3390879699686979,-0.22269579073140272,No
Female,Yes,Yes,1.286530036897143,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.4823588015799658,-0.4436047048020289,No
Male,No,Yes,1.0013425879593656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,-1.5023016494436374,-0.490896638078856,No
Female,Yes,No,-1.2801570035428536,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.18785470700252244,-0.9762124570885333,Yes
Female,Yes,Yes,1.6124585499688886,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.772844911003553,1.8274227515018684,No
Female,No,No,-0.9949695546050762,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,0.2111213628434726,-0.7586342715276089,Yes
Female,Yes,No,1.1643068444952385,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.204939948049769,1.626961422388154,No
Male,No,No,1.286530036897143,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),0.6482021118556061,1.326004735061182,No
Male,Yes,No,1.5717174858349205,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.357716002432019,-0.23253357162760832,No
Female,Yes,Yes,1.3272711010311113,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),1.1384637885041973,1.8234744044605662,No
Male,No,No,-1.1986748752749172,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.5023016494436374,-0.9802269775439355,No
Male,No,No,-1.2801570035428536,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-0.6364496713625665,-0.9871531282197394,Yes
Male,No,Yes,-0.09866614365777576,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),-0.009911867645553398,-0.1558827002950645,No
Male,Yes,Yes,-0.7097821056672988,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,0.1562785312183758,-0.5346372647989809,No
Female,Yes,Yes,-0.9949695546050762,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.12470235543422914,-0.7583254622618087,No
Male,No,No,-1.0357106187390444,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,1.0038495654244146,-0.7181140842936857,Yes
Female,Yes,Yes,1.5309764217009523,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.4409303144365486,2.491318557362848,No
Male,Yes,Yes,1.2050479086292067,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,0.7080306554466205,1.2934474153239635,No
Female,Yes,Yes,-1.0764516828730126,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4989778414663588,-0.9572206872418224,No
Female,Yes,Yes,-0.750523169801267,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.5351926406281345,-0.49872715874736046,No
Female,No,No,-0.4245946567295214,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.6432163998896885,-0.20352755844709175,No
